Metadata: {"arch":"arm64","console_log":"console.log","dist_size":1561782,"engine":"castl","repository":"https://github.com/PaulBernier/castl.git","revision":"7d6f6c5713493e9fe737fb1435c11f690497fe4c","revision_date":"2017-03-22","version":"1.2.4"}
es1/Array.js: OK
es1/Array.length.assignment.js: OK
es1/Array.length.js: OK
es1/Array.prototype.constructor.js: OK
es1/Array.prototype.join.generic.js: OK
es1/Array.prototype.join.js: OK
es1/Array.prototype.reverse.generic.js: OK
es1/Array.prototype.reverse.js: OK
es1/Array.prototype.sort.generic.js: OK
es1/Array.prototype.sort.js: OK
es1/Array.prototype.toString.js: OK
es1/Boolean.js: OK
es1/Boolean.prototype.constructor.js: OK
es1/Boolean.prototype.toString.js: OK
es1/Boolean.prototype.valueOf.js: OK
es1/Date.diff.js: OK
es1/Date.js: OK
es1/Date.prototype.constructor.js: OK
es1/Date.prototype.getDate.js: OK
es1/Date.prototype.getDay.js: OK
es1/Date.prototype.getFullYear.js: OK
es1/Date.prototype.getHours.js: OK
es1/Date.prototype.getMilliseconds.js: OK
es1/Date.prototype.getMinutes.js: OK
es1/Date.prototype.getMonth.js: OK
es1/Date.prototype.getSeconds.js: OK
es1/Date.prototype.getTimezoneOffset.js: OK
es1/Date.prototype.getTime.js: OK
es1/Date.prototype.getUTCDate.js: failed
es1/Date.prototype.getUTCDay.js: failed
es1/Date.prototype.getUTCFullYear.js: failed
es1/Date.prototype.getUTCHours.js: failed
es1/Date.prototype.getUTCMilliseconds.js: failed
es1/Date.prototype.getUTCMinutes.js: failed
es1/Date.prototype.getUTCMonth.js: failed
es1/Date.prototype.getUTCSeconds.js: failed
es1/Date.prototype.setDate.js: OK
es1/Date.prototype.setFullYear.js: OK
es1/Date.prototype.setHours.js: OK
es1/Date.prototype.setMilliseconds.js: OK
es1/Date.prototype.setMinutes.js: OK
es1/Date.prototype.setMonth.js: OK
es1/Date.prototype.setSeconds.js: OK
es1/Date.prototype.setTime.js: OK
es1/Date.prototype.setUTCDate.js: OK
es1/Date.prototype.setUTCFullYear.js: OK
es1/Date.prototype.setUTCHours.js: OK
es1/Date.prototype.setUTCMilliseconds.js: OK
es1/Date.prototype.setUTCMinutes.js: OK
es1/Date.prototype.setUTCMonth.js: OK
es1/Date.prototype.setUTCSeconds.js: OK
es1/Date.prototype.toLocaleString.js: OK
es1/Date.prototype.toString.js: OK
es1/Date.prototype.toUTCString.js: OK
es1/Date.prototype.valueOf.js: OK
es1/Function.js: OK
es1/Function.length.js: failed: Function.length failed
es1/Function.prototype.constructor.js: OK
es1/Function.prototype.js: OK
es1/Function.prototype.toString.js: OK
es1/Math.E.js: OK
es1/Math.LN2.js: OK
es1/Math.LN10.js: OK
es1/Math.LOG2E.js: OK
es1/Math.LOG10E.js: OK
es1/Math.PI.js: OK
es1/Math.SQRT1_2.js: OK
es1/Math.SQRT2.js: OK
es1/Math.abs.js: OK
es1/Math.acos.js: OK
es1/Math.asin.js: OK
es1/Math.atan2.js: OK
es1/Math.atan.js: OK
es1/Math.ceil.js: OK
es1/Math.cos.js: OK
es1/Math.exp.js: OK
es1/Math.floor.js: OK
es1/Math.log.js: OK
es1/Math.max.js: OK
es1/Math.min.js: OK
es1/Math.pow.js: OK
es1/Math.random.js: OK
es1/Math.round.js: OK
es1/Math.sin.js: OK
es1/Math.sqrt.js: OK
es1/Math.tan.js: OK
es1/Number.MAX_VALUE.js: OK
es1/Number.MIN_VALUE.js: OK
es1/Number.NEGATIVE_INFINITY.js: OK
es1/Number.NaN.js: OK
es1/Number.POSITIVE_INFINITY.js: OK
es1/Number.js: failed: Number() failed
es1/Number.prototype.constructor.js: OK
es1/Number.prototype.toString.js: OK
es1/Number.prototype.valueOf.js: OK
es1/Object.js: OK
es1/Object.prototype.constructor.js: OK
es1/Object.prototype.toString.js: OK
es1/Object.prototype.valueOf.js: OK
es1/String.fromCharCode.js: OK
es1/String.generics.js: failed: exit code 8
es1/String.js: OK
es1/String.length.js: OK
es1/String.prototype.charAt.js: OK
es1/String.prototype.charCodeAt.js: failed: charCodeAt out of bounds NaN failed
es1/String.prototype.constructor.js: OK
es1/String.prototype.indexOf.js: OK
es1/String.prototype.lastIndexOf.js: failed: lastIndexOf at start failed
es1/String.prototype.split.js: OK
es1/String.prototype.substring.js: OK
es1/String.prototype.toLowerCase.js: OK
es1/String.prototype.toString.js: OK
es1/String.prototype.toUpperCase.js: OK
es1/String.prototype.valueOf.js: OK
es1/annex-b.Date.prototype.getYear.js: failed: exit code 8
es1/annex-b.Date.prototype.setYear.js: failed: exit code 8
es1/annex-b.Date.prototype.toGMTString.js: failed: exit code 8
es1/annex-b.global.escape.js: failed: exit code 8
es1/annex-b.global.unescape.js: failed: exit code 8
es1/annex-b.literals.octal.js: OK
es1/annex-b.literals.string.octal.js: OK
es1/arguments.callee.js: failed: exit code 8
es1/arguments.js: OK
es1/asi.eval.js: OK
es1/asi.js: OK
es1/assignment.bitwise.js: OK
es1/assignment.js: OK
es1/assignment.ltr.js: OK
es1/assignment.unsigned-shift.js: OK
es1/bitwise.binary.js: OK
es1/bitwise.shifts.js: OK
es1/bitwise.tilde.js: OK
es1/bitwise.unsigned-shift.js: OK
es1/break.js: OK
es1/comma.js: OK
es1/comments.js: OK
es1/conditional.js: OK
es1/continue.js: OK
es1/conversions.ToBoolean.js: OK
es1/conversions.ToInt32.js: OK
es1/conversions.ToInteger.js: failed: NaN failed
es1/conversions.ToNumber.js: OK
es1/conversions.ToObject.js: OK
es1/conversions.ToString.js: failed: NaN failed
es1/conversions.ToUint32.js: failed: NaN failed
es1/conversions.js: failed
es1/equals.js: OK
es1/eval.js: OK
es1/for-in.js: OK
es1/for.js: OK
es1/functions.js: OK
es1/global.Infinity.js: OK
es1/global.NaN.js: OK
es1/global.isFinite.js: OK
es1/global.isNaN.js: OK
es1/global.parseFloat.js: OK
es1/global.parseInt.hex.js: failed
es1/global.parseInt.js: OK
es1/global.parseInt.radix.js: OK
es1/literals.decimal.js: OK
es1/literals.hex.js: OK
es1/literals.string.escapes.js: OK
es1/literals.string.hex.js: OK
es1/literals.string.js: OK
es1/literals.string.unicode.js: OK
es1/logical.js: OK
es1/new.typeof.js: OK
es1/numbers.double.js: failed: converting max safe integer + 1 to string
es1/numbers.fmod.js: OK
es1/numbers.inf.js: failed: +Infinity magnitude failed
es1/numbers.int.js: OK
es1/numbers.nan.js: OK
es1/postfix.decrement.js: OK
es1/postfix.increment.js: OK
es1/prefix.js: OK
es1/relational.js: OK
es1/return.js: OK
es1/return.typeof.js: OK
es1/this.js: OK
es1/typeof.js: OK
es1/typeof.null.js: OK
es1/typeof.undeclared.js: OK
es1/types.js: OK
es1/unary.decrement.js: OK
es1/unary.delete.js: OK
es1/unary.delete.var.js: OK
es1/unary.increment.js: OK
es1/unary.minus.js: OK
es1/unary.not.js: OK
es1/unary.plus.js: OK
es1/unary.plus.str.js: OK
es1/unary.tilde.js: OK
es1/var.js: OK
es1/var.typeof.js: OK
es1/void.js: OK
es1/void.typeof.js: OK
es1/while.js: OK
es1/with.js: failed: property lookup failed
es3/Array.prototype.concat.js: OK
es3/Array.prototype.pop.generic.js: OK
es3/Array.prototype.pop.js: OK
es3/Array.prototype.push.generic.js: OK
es3/Array.prototype.push.js: OK
es3/Array.prototype.shift.generic.js: OK
es3/Array.prototype.shift.js: OK
es3/Array.prototype.slice.generic.js: OK
es3/Array.prototype.slice.js: OK
es3/Array.prototype.splice.generic.js: OK
es3/Array.prototype.splice.js: OK
es3/Array.prototype.toLocaleString.js: OK
es3/Array.prototype.unshift.generic.js: OK
es3/Array.prototype.unshift.js: OK
es3/Array.prototype.unshift.returns-new-length.js: OK
es3/Date.prototype.toDateString.js: OK
es3/Date.prototype.toLocaleDateString.js: OK
es3/Date.prototype.toLocaleString.js: OK
es3/Date.prototype.toLocaleTimeString.js: OK
es3/Date.prototype.toTimeString.js: OK
es3/Error.js: OK
es3/Error.prototype.constructor.js: OK
es3/Error.prototype.message.js: OK
es3/Error.prototype.name.js: OK
es3/Error.prototype.toString.js: OK
es3/Function.prototype.apply.js: OK
es3/Function.prototype.call.js: OK
es3/Math.max.variadic.js: failed: max() with 0 args failed
es3/Math.min.variadic.js: failed: min() with 0 args failed
es3/Number.prototype.toExponential.edge-cases.js: failed
es3/Number.prototype.toExponential.js: failed: NaN failed
es3/Number.prototype.toExponential.rounding.js: failed: exit code 8
es3/Number.prototype.toExponential.throws-infinity.js: OK
es3/Number.prototype.toFixed.js: failed: NaN failed
es3/Number.prototype.toLocaleString.js: OK
es3/Number.prototype.toPrecision.js: failed: NaN failed
es3/Object.prototype.hasOwnProperty.js: failed: ToString conversion failed
es3/Object.prototype.isPrototypeOf.js: OK
es3/Object.prototype.propertyIsEnumerable.js: failed: inherited property should be false failed
es3/Object.prototype.toLocaleString.js: failed: custom toString failed
es3/RegExp.global.js: OK
es3/RegExp.ignoreCase.js: OK
es3/RegExp.js: OK
es3/RegExp.lastIndex.js: OK
es3/RegExp.multiline.js: OK
es3/RegExp.prototype.constructor.js: OK
es3/RegExp.prototype.exec.js: OK
es3/RegExp.prototype.test.js: OK
es3/RegExp.prototype.toString.js: OK
es3/RegExp.source.js: OK
es3/String.prototype.concat.generic.js: OK
es3/String.prototype.concat.js: OK
es3/String.prototype.localeCompare.js: failed: exit code 8
es3/String.prototype.match.generic.js: OK
es3/String.prototype.match.js: OK
es3/String.prototype.replace.capture.js: failed: $nn 10 captures failed
es3/String.prototype.replace.extra.js: failed: $` failed
es3/String.prototype.replace.generic.js: failed: exit code 8
es3/String.prototype.replace.regex.js: OK
es3/String.prototype.replace.str.js: OK
es3/String.prototype.search.generic.js: OK
es3/String.prototype.search.js: OK
es3/String.prototype.search.str.js: OK
es3/String.prototype.slice.generic.js: OK
es3/String.prototype.slice.js: OK
es3/String.prototype.split.bugs.js: failed
es3/String.prototype.split.limit.js: OK
es3/String.prototype.split.regex.js: failed: split by empty regex failed
es3/String.prototype.toLocaleLowerCase.js: OK
es3/String.prototype.toLocaleUpperCase.js: OK
es3/annex-b.String.prototype.substr.js: OK
es3/do-while.js: OK
es3/function-expressions.IIFE.js: OK
es3/function-expressions.js: OK
es3/global.EvalError.js: OK
es3/global.RangeError.js: OK
es3/global.RangeError.thrown.js: failed: no exception for new Array with negative length
es3/global.ReferenceError.js: OK
es3/global.ReferenceError.thrown.js: failed: no exception for undeclared variable
es3/global.SyntaxError.js: OK
es3/global.SyntaxError.thrown.js: failed: wrong exception type
es3/global.TypeError.js: OK
es3/global.TypeError.thrown.js: TypeError: luajit: /zoo/conformance/es3/.global.TypeError.thrown.js.lua:123: syntax error near ';'
es3/global.URIError.js: OK
es3/global.URIError.thrown.js: failed: no exception for decodeURI incomplete escape
es3/global.decodeURIComponent.js: OK
es3/global.decodeURI.js: OK
es3/global.encodeURIComponent.js: OK
es3/global.encodeURI.js: OK
es3/global.undefined.js: OK
es3/identifiers.unicode.js: OK
es3/instanceof.js: OK
es3/in.js: OK
es3/labelled.break.js: OK
es3/labelled.continue.js: OK
