arch,binary,test,weight
amd64,engine262,regexp.js,0.3232
amd64,engine262,richards.ucode.js,0.1289
amd64,engine262,splay.js,0.5079
amd64,engine262,typescript.js,0.3861
amd64,escargot,box2d.js,4.9247
amd64,escargot,code-load.js,8.9112
amd64,escargot,crypto.js,6.9614
amd64,escargot,deltablue.js,6.0618
amd64,escargot,earley-boyer.js,8.3114
amd64,escargot,gbemu.js,6.3877
amd64,escargot,mandreel.js,2.7271
amd64,escargot,navier-stokes.js,7.2215
amd64,escargot,pdfjs.js,5.5162
amd64,escargot,raytrace.js,6.9223
amd64,escargot,regexp.js,3.8768
amd64,escargot,richards.ucode.js,3.1862
amd64,escargot,splay.js,6.5199
amd64,escargot,typescript.js,6.9797
amd64,escargot,zlib.js,1.8694
amd64,escargot_clang,box2d.js,4.9612
amd64,escargot_clang,code-load.js,8.6202
amd64,escargot_clang,crypto.js,6.9978
amd64,escargot_clang,deltablue.js,6.048
amd64,escargot_clang,earley-boyer.js,8.0833
amd64,escargot_clang,gbemu.js,6.302
amd64,escargot_clang,mandreel.js,2.6488
amd64,escargot_clang,navier-stokes.js,7.1239
amd64,escargot_clang,pdfjs.js,5.3411
amd64,escargot_clang,raytrace.js,6.818
amd64,escargot_clang,regexp.js,3.8236
amd64,escargot_clang,richards.ucode.js,3.1618
amd64,escargot_clang,splay.js,6.1316
amd64,escargot_clang,typescript.js,6.9245
amd64,escargot_clang,zlib.js,1.7931
amd64,fastschema-qjs,box2d.js,2.5685
amd64,fastschema-qjs,code-load.js,5.3123
amd64,fastschema-qjs,crypto.js,2.8897
amd64,fastschema-qjs,deltablue.js,3.067
amd64,fastschema-qjs,earley-boyer.js,4.26
amd64,fastschema-qjs,gbemu.js,3.1328
amd64,fastschema-qjs,mandreel.js,1.3623
amd64,fastschema-qjs,navier-stokes.js,3.5671
amd64,fastschema-qjs,pdfjs.js,2.8554
amd64,fastschema-qjs,raytrace.js,3.4295
amd64,fastschema-qjs,regexp.js,1.9552
amd64,fastschema-qjs,richards.ucode.js,1.4871
amd64,fastschema-qjs,splay.js,5.6359
amd64,fastschema-qjs,typescript.js,4.5964
amd64,fastschema-qjs,zlib.js,0.9469
amd64,goja,box2d.js,2.124
amd64,goja,code-load.js,7.5681
amd64,goja,crypto.js,2.3022
amd64,goja,deltablue.js,3.1563
amd64,goja,earley-boyer.js,4.2694
amd64,goja,gbemu.js,2.6969
amd64,goja,mandreel.js,1.127
amd64,goja,navier-stokes.js,2.8432
amd64,goja,pdfjs.js,2.1656
amd64,goja,raytrace.js,3.3877
amd64,goja,regexp.js,2.7966
amd64,goja,richards.ucode.js,1.4379
amd64,goja,splay.js,5.7216
amd64,goja,typescript.js,0
amd64,goja,zlib.js,0.7148
amd64,graaljs,box2d.js,6.8693
amd64,graaljs,code-load.js,5.6039
amd64,graaljs,crypto.js,19.583
amd64,graaljs,deltablue.js,19.583
amd64,graaljs,earley-boyer.js,19.583
amd64,graaljs,gbemu.js,6.4174
amd64,graaljs,mandreel.js,5.2417
amd64,graaljs,navier-stokes.js,19.583
amd64,graaljs,pdfjs.js,5.5793
amd64,graaljs,raytrace.js,19.583
amd64,graaljs,regexp.js,5.6687
amd64,graaljs,richards.ucode.js,9.7915
amd64,graaljs,splay.js,8.7327
amd64,graaljs,typescript.js,6.7828
amd64,graaljs,zlib.js,3.5705
amd64,hako,box2d.js,1.0883
amd64,hako,code-load.js,2.3007
amd64,hako,crypto.js,1.2872
amd64,hako,deltablue.js,1.3471
amd64,hako,earley-boyer.js,1.6788
amd64,hako,gbemu.js,1.4783
amd64,hako,mandreel.js,0.6613
amd64,hako,navier-stokes.js,1.5855
amd64,hako,pdfjs.js,1.1906
amd64,hako,raytrace.js,1.3299
amd64,hako,regexp.js,0.8648
amd64,hako,richards.ucode.js,0.6676
amd64,hako,splay.js,2.0774
amd64,hako,typescript.js,2.028
amd64,hako,zlib.js,0.4812
amd64,hermes,box2d.js,5.2367
amd64,hermes,code-load.js,5.6443
amd64,hermes,crypto.js,6.7901
amd64,hermes,deltablue.js,5.9016
amd64,hermes,earley-boyer.js,8.821
amd64,hermes,gbemu.js,6.1269
amd64,hermes,mandreel.js,2.9146
amd64,hermes,navier-stokes.js,7.2096
amd64,hermes,pdfjs.js,5.1403
amd64,hermes,raytrace.js,6.8324
amd64,hermes,regexp.js,4.3842
amd64,hermes,richards.ucode.js,3.1326
amd64,hermes,splay.js,9.2084
amd64,hermes,typescript.js,7.9321
amd64,hermes,zlib.js,1.5909
amd64,hermes-v1,box2d.js,6.4949
amd64,hermes-v1,code-load.js,5.8939
amd64,hermes-v1,crypto.js,7.6786
amd64,hermes-v1,deltablue.js,7.1679
amd64,hermes-v1,earley-boyer.js,11.7077
amd64,hermes-v1,gbemu.js,6.9889
amd64,hermes-v1,mandreel.js,3.2934
amd64,hermes-v1,navier-stokes.js,9.6013
amd64,hermes-v1,pdfjs.js,6.9639
amd64,hermes-v1,raytrace.js,10.9028
amd64,hermes-v1,regexp.js,4.5834
amd64,hermes-v1,richards.ucode.js,3.5267
amd64,hermes-v1,splay.js,10.2629
amd64,hermes-v1,typescript.js,9.5378
amd64,hermes-v1,zlib.js,1.7187
amd64,hermes-v1_clang,box2d.js,6.3332
amd64,hermes-v1_clang,code-load.js,5.7482
amd64,hermes-v1_clang,crypto.js,7.6368
amd64,hermes-v1_clang,deltablue.js,6.9486
amd64,hermes-v1_clang,earley-boyer.js,11.3274
amd64,hermes-v1_clang,gbemu.js,6.8479
amd64,hermes-v1_clang,mandreel.js,3.2656
amd64,hermes-v1_clang,navier-stokes.js,9.393
amd64,hermes-v1_clang,pdfjs.js,6.6643
